Model,R Squared,Negative Mean Squared Error,Negative Mean Absolute Error,Max Error
Linear Regression + Nothing,0.322263174,-0.856847918,-0.644591526,-4.011627279
Ridge Regression + Nothing,0.322263209,-0.856847871,-0.644593543,-4.011614831
Lasso Regression + Nothing,0.300143179,-0.884716845,-0.662466806,-3.815242176
LARS Lasso Regression + Nothing,0.300143236,-0.88471677,-0.66246715,-3.815243715
Bayesian Ridge Regression + Nothing,0.322226396,-0.856892874,-0.6459417,-4.006055027
Stochastic Gradient Descent Regression + Nothing,0.316168944,-0.682616587,-0.572098154,-3.490782932
Linear Regression + Lexical,0.377295962,-0.793639107,-0.613507498,-3.681112171
Ridge Regression + Lexical,0.377298744,-0.793634803,-0.613437015,-3.680538601
Lasso Regression + Lexical,0.34004281,-0.841279795,-0.646846416,-3.851574835
LARS Lasso Regression + Lexical,0.340042836,-0.841279766,-0.646846036,-3.85156991
Bayesian Ridge Regression + Lexical,0.376989175,-0.794001739,-0.614260396,-3.666422244
Stochastic Gradient Descent Regression + Lexical,0.372991606,-0.625197309,-0.539791459,-3.364077778
Linear Regression + Scores,0.352253592,-0.825759181,-0.639394311,-3.362303882
Ridge Regression + Scores,0.343383734,-0.836716273,-0.647623498,-3.607704334
Lasso Regression + Scores,0.30272009,-0.888834633,-0.660740901,-4.024838824
LARS Lasso Regression + Scores,0.302720184,-0.888834507,-0.660741107,-4.024845209
Bayesian Ridge Regression + Scores,0.344736617,-0.835094826,-0.641582197,-3.671520591
Stochastic Gradient Descent Regression + Scores,0.335537245,-0.662288751,-0.569983872,-3.280834158
Linear Regression + Reading,0.410298477,-0.751558495,-0.611112735,-3.088944715
Ridge Regression + Reading,0.410299016,-0.75155777,-0.611111744,-3.088948293
Lasso Regression + Reading,0.317948884,-0.869338849,-0.650747455,-3.864656613
LARS Lasso Regression + Reading,0.317948853,-0.869338887,-0.650747476,-3.864671314
Bayesian Ridge Regression + Reading,0.410340565,-0.751490456,-0.609946231,-3.090503
Stochastic Gradient Descent Regression + Reading,0.408580183,-0.58957979,-0.543399848,-2.684784399
Linear Regression + NLP,0.329141457,-0.848097315,-0.642275815,-3.916433266
Ridge Regression + NLP,0.329141507,-0.848097252,-0.642279031,-3.916430855
Lasso Regression + NLP,0.300143179,-0.884716845,-0.662466806,-3.815242176
LARS Lasso Regression + NLP,0.300143236,-0.88471677,-0.66246715,-3.815243715
Bayesian Ridge Regression + NLP,0.32910311,-0.848145799,-0.641783235,-3.915944256
Stochastic Gradient Descent Regression + NLP,0.319946487,-0.678737638,-0.579644533,-3.389481016
Linear Regression + All,0.431440258,-0.718723406,-0.59416574,-3.009481722
Ridge Regression + All,0.429476893,-0.721307305,-0.595057353,-3.084602815
Lasso Regression + All,0.351537237,-0.819784203,-0.628940718,-3.601711119
LARS Lasso Regression + All,0.351537774,-0.819783504,-0.628939874,-3.601724992
Bayesian Ridge Regression + All,0.428931585,-0.722047919,-0.592693579,-3.134692923
Stochastic Gradient Descent Regression + All,0.42516298,-0.573892614,-0.527363978,-2.785973882
