,R Squared,Negative Mean Squared Error,Negative Mean Absolute Error,Max Error
Linear Regression + Nothing,0.5651451740519136,-0.5494884640392466,-0.5042110336759786,-2.8182538750441664
Ridge Regression + Nothing,0.5651450267311617,-0.5494887042526326,-0.5042082346203941,-2.818464412677872
Lasso Regression + Nothing,0.3001431789650653,-0.8847168447052194,-0.6624668058418699,-3.81524217600883
LARS Lasso Regression + Nothing,0.3001432361232511,-0.8847167701087703,-0.6624671500298239,-3.815243714725935
Bayesian Ridge Regression + Nothing,0.5651422561065677,-0.5494926528614212,-0.5042743188966607,-2.8202385090123934
Stochastic Gradient Descent Regression + Nothing,0.5620041897235586,-0.43695738502835607,-0.4521301949211988,-2.3595646600460167
Linear Regression + Lexical,0.5876874007282008,-0.5257316479409069,-0.4979431652096615,-2.677116289832345
Ridge Regression + Lexical,0.5876884738627614,-0.525729966171502,-0.49789990346848756,-2.6773929738492805
Lasso Regression + Lexical,0.340042809738766,-0.8412797946567693,-0.646846415944436,-3.851574834850883
LARS Lasso Regression + Lexical,0.3400428355239641,-0.8412797661407261,-0.6468460359254515,-3.85156991025429
Bayesian Ridge Regression + Lexical,0.587691049166007,-0.5257227042774741,-0.49761876878430905,-2.6809614344882786
Stochastic Gradient Descent Regression + Lexical,0.5860266249064221,-0.41293312651312286,-0.4387649037722493,-2.2552742135744084
Linear Regression + Scores,0.5755508637552182,-0.5412417662127584,-0.49853605313296584,-2.649248121111756
Ridge Regression + Scores,0.5715160756456212,-0.5462640908213217,-0.4967531324396245,-2.741367369368946
Lasso Regression + Scores,0.30272009021667234,-0.8888346329070744,-0.6607409008361322,-4.02483882398494
LARS Lasso Regression + Scores,0.3027201838889566,-0.8888345070348702,-0.6607411071528708,-4.024845208522609
Bayesian Ridge Regression + Scores,0.5703903005360844,-0.547678233499565,-0.4982067006390613,-2.767199296998343
Stochastic Gradient Descent Regression + Scores,0.5669357172462137,-0.43179280123933506,-0.44367640198015623,-2.4186345500870323
Linear Regression + Reading,0.5872711044345575,-0.5261025247556149,-0.48428465251872527,-2.605716501565152
Ridge Regression + Reading,0.5872713480179999,-0.5261021751251885,-0.48432837565636716,-2.605752023794312
Lasso Regression + Reading,0.31794888363978163,-0.8693388487124333,-0.6507474552359112,-3.864656613480526
LARS Lasso Regression + Reading,0.3179488534640089,-0.8693388871680412,-0.6507474762163411,-3.8646713135827317
Bayesian Ridge Regression + Reading,0.5872667318916454,-0.5261072062806368,-0.4842677910182198,-2.606529905114977
Stochastic Gradient Descent Regression + Reading,0.5840280418469698,-0.4147223041837532,-0.4285226937969197,-2.2034508143108686
Linear Regression + NLP,0.5669936209491272,-0.547150600398698,-0.5003049765194194,-2.801957828156495
Ridge Regression + NLP,0.5669934595546643,-0.5471508508050519,-0.5002897116591037,-2.8021302719997374
Lasso Regression + NLP,0.3001431789650653,-0.8847168447052194,-0.6624668058418699,-3.81524217600883
LARS Lasso Regression + NLP,0.3001432361232511,-0.8847167701087703,-0.662467150029824,-3.815243714725935
Bayesian Ridge Regression + NLP,0.5669891550469875,-0.5471568028338113,-0.5000617351379019,-2.804063324513937
Stochastic Gradient Descent Regression + NLP,0.5629605178575845,-0.43601932215995554,-0.4515048347883278,-2.327603741621291
Linear Regression + All,0.596623808582406,-0.5096369998401696,-0.48578161951582566,-2.473574353606306
Ridge Regression + All,0.5956494612479277,-0.5109216820328946,-0.4884765833341637,-2.506374049499736
Lasso Regression + All,0.3515372369000917,-0.8197842029551238,-0.6289407177144156,-3.6017111192390807
LARS Lasso Regression + All,0.3515377741622509,-0.8197835037186618,-0.6289398737465317,-3.6017249920404026
Bayesian Ridge Regression + All,0.59548687619266,-0.5111456355015437,-0.48917588249415933,-2.525626063174351
Stochastic Gradient Descent Regression + All,0.5902830732805426,-0.4087729097029912,-0.43877119696631317,-2.289163863208247
